Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Orange Shorts,,,,,,,,,,,,,,,2,,,2,,,,,1/1/2017,25,Express,Fast Fashion,,,shorts,,,,Bottoms
Green Old Navy Shorts,,,,,,,,,,,,,,,1,,,,,,,,1/1/2015,20,Old Navy,Fast Fashion,,,shorts,,,,Bottoms
Blue Pullover Sweater,,,,,,,1,,2,,,,,1,,,,,,,1,,12/1/2017,0,Brian,Hand-me-down,,,sweater,long sleeve,,,Outerwear
Beige Cable Knit Sweater,2,,,,,,,,,,,,,,,,,,,,,,10/22/2020,10,Plato's Closet,Secondhand,,,sweater,long sleeve,,,Outerwear
Cream Knit Crop Sweater,3,1,,,,,,,,2,,1,2,,,,,,,1,,1,12/1/2014,10,Nordstrom Rack,Fast Fashion,,,sweater,long sleeve,,,Outerwear
Purple and Orange Mockneck Sweater,5,,,,,,,,,,,,,,,,,,,,,,10/22/2020,10,Plato's Closet,Secondhand,,,sweater,long sleeve,,,Outerwear
Cream Cardigan,,1,,,,2,2,4,3,6,2,,,,,,,,,,,,11/28/2019,39,Synergy Organic,Slow Fashion,,,cardigan ,long sleeve,,,Outerwear
Pink and Red Reversible Haori,,2,2,2,1,,,,,,,,,,,,,,,,,,6/26/2020,75,Matter Prints,Slow Fashion,,,cardigan,mid sleeve,,,Outerwear
Grey Cardigan,1,1,,,,1,,1,5,2,5,14,2,,,,,,,,,,10/28/2019,42,TheRealReal/Theory,Secondhand,,,cardigan,long sleeve,,,Outerwear
Grey Heather Blazer Sweater,,,,,,,,,1,1,1,5,4,,,,,,2,2,1,1,5/14/2016,0,Express,Gift,,,sweater,long sleeve,,,Outerwear
Tapestry Jacket,1,2,,,,,,,,,,,,,,,,,,,,,9/4/20,16,Rumors,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
Black Blazer,,,,,,1,1,1,3,4,5,,,,,,,,,,,,12/5/19,103,Athleta,Slow Fashion,,,blazer,long sleeve,,,Outerwear
Black Pleather and Mesh Blazer ,1,,,,,,,,,,,,,,,,,,,,,,8/10/20,3,Rachel ,Secondhand ,,,blazer,long sleeve,,,Outerwear
Blue Quilted Blazer,,,,1,,,1,,1,2,,,,,,,,,,,,,12/28/19,0,TheRealReal/Sandro,Secondhand,,,blazer ,long sleeve,,,Outerwear
Striped Waterfall Blazer,,,2,,,,,,,,,,,,,,,,,,,,8/25/20,20,Instagram - H&M,Second ,,,blazer ,long sleeve ,,,Outerwear
White Blazer,1,,,,,,,,1,,,,,,,,,,2,,,,7/1/17,50,Nordstrom Rack,Fast Fashion,,,blazer,mid sleeve,,,Outerwear
Black Blazer Sweater,1,,,,1,3,,3,2,3,1,2,5,8,2,2,,,6,11,6,3,12/23/18,43,Nordstrom Rack,Fast Fashion,,,sweater,mid sleeve,,,Outerwear
Grey Oversized Poncho Sweater,2,1,,,,1,,2,1,1,,,2,,,,,,,2,,2,1/1/2016,15,Modcloth/Online,Fast Fashion,,,sweater,mid sleeve,,,Outerwear
Grey Cashmere Crop Sweater,1,1,,,,,,1,,5,1,2,2,,,,,,,,,1,8/1/2018,0,Rachel,Hand-me-down,,,sweater,mid sleeve,,,Outerwear
Black Striped Osei-Duro Coat,3,3,,,1,,,9,5,7,3,16,1,,,,,,,,,,10/28/2019,58,TheRealReal/Osei-Duro,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
Black Silky Coat,,,,,1,2,,1,,,2,,,,,,,,,,,,12/23/2019,11,Goodwill,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
Green Trenchcoat,1,,,,,,,,,4,1,,,,,,,,,,,,12/23/2019,11,Goodwill,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
Black London Fog Coat,,,,,,,,3,10,6,6,4,,,,,,,3,15,20,14,2/1/2018,70,SteinMart,Fast Fashion,,,coat/jacket,long sleeve,,,Outerwear
Grey Puffer Coat,,,,,,,,1,9,9,11,3,,,,,,,,1,2,10,2/1/2018,70,SteinMart,Fast Fashion,,,coat/jacket,long sleeve,,,Outerwear
Peru Alpaca Sweater,,,,,,,,,,,,,,,,,,,,,,,12/27/2019,0,Poppee,Secondhand,,,sweater,long sleeve,,,Outerwear
Ugly Christmas Sweater,,,,,,,,,,,1,,,,,,,,,,,,12/1/2018,20,Target,Fast Fashion,,,sweater,long sleeve,,,Outerwear
Brown Leather Jacket,,,,,,,,,,,,,1,1,,,,,,1,1,,1/1/2014,30,Goodwill,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
Red Hilfiger Coat,,,,,,,,,,1,,,1,,,,,,,1,1,,1/1/2013,50,Macy's,Fast Fashion,,,coat/jacket,long sleeve,,,Outerwear
