Unnamed: 0,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
44,Maroon SL Shirt,,2.0,,,,,,,,1,4,2,1,,,2.0,2.0,2.0,,,1.0,1.0,1/1/2018,20,Target,Fast Fashion,,,shirt,sleeveless,,,Tops
45,Grey Heather Tunic SL Shirt,,,,,,,,,,1,1,1,1,,,,,,,,,,10/8/2019,0,Mom,Hand-me-down,,,shirt,sleeveless,,,Tops
46,Black Calvin Klein SL Shirt,1.0,1.0,,,,,,,,,2,1,1,1.0,,,,,,,,,9/14/2019,18,eBay,Secondhand,,,shirt,sleeveless,,,Tops
0,Curator Rust CL Skirt,,3.0,,1.0,1.0,3.0,1,1,,1,,,2.0,,2.0,5.0,,,,,,,7/18/2019,75,Instagram/Curator SF,Secondhand,,7.0,skirt,,,calf-length maxi,Bottoms
1,Black Midi CL Circle Skirt,,,,,,,1,3,,,1.0,2.0,,,,,,,,,,,11/12/2019,0,Elegantees ($50),Gift,,,skirt,,,calf-length maxi,Bottoms
2,Grey FL Maxi Skirt,1.0,1.0,,,,,2,,,1,,,,2.0,2.0,3.0,,,,1.0,2.0,,1/1/2014,30,Nordstrom Rack,Fast Fashion,,,skirt,,,full-length maxi,Bottoms
3,Pink and Tan Pattern Maxi Skirt,,,2.0,,,,,1,,1,,,,,,1.0,1.0,,,1.0,,,7/1/2018,0,Gift,Gift,,,skirt,,,full-length maxi,Bottoms
4,Light Black Skinny Leg Jeans,1.0,,,,3.0,7.0,2,12,19,1,,,,,,,,,,,,,1/29/20,140,Madewell,New,,,jeans,,,skinny leg,Bottoms
5,Black Everlane Skinny Leg Jeans,1.0,,,,,,3,3,5,5,11.0,5.0,6.0,4.0,,,1.0,,3.0,9.0,15.0,14.0,1/9/19,74,Everlane/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
6,Beige Pleated Pants,,1.0,,,,,,,,,,,,,,,,,,,,,9/19/2020,15,Vintage,Secondhand,,,pants,,,tapered leg,Bottoms
