Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Black Midi CL Circle Skirt,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,11/12/2019,0,Elegantees ($50),Gift,0,skirt,,,calf-length maxi,Bottoms
Grey FL Maxi Skirt,1,1,0,0,0,0,2,0,0,1,0,0,0,2,2,3,0,0,0,1,2,0,1/1/2014,30,Nordstrom Rack,0,0,skirt,,,full-length maxi,Bottoms
Pink and Tan Pattern Maxi Skirt,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,7/1/2018,0,Gift,Gift,0,skirt,,,full-length maxi,Bottoms
Light Black Skinny Leg Jeans,1,0,0,0,3,7,2,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1/29/20,140,Madewell,New,0,jeans,,,skinny leg,Bottoms
Black Everlane Skinny Leg Jeans,1,0,0,0,0,0,3,3,5,5,11,5,6,4,0,0,1,0,3,9,15,14,1/9/19,74,Everlane/Online,0,0,jeans,,,skinny leg,Bottoms
Beige Pleated Pants,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/19/2020,15,Vintage,Secondhand,0,pants,,,tapered leg,Bottoms
Blue Corduroy Pants ,0,0,0,0,0,2,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1/29/2020,68,Madewell,New,0,pants,,,wide leg ,Bottoms
Blue Pleated Pants ,3,1,5,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/11/2020,95,Big Bud Press,Slow Fashion,0,pants,,,straight leg,Bottoms
Brown Paperbag Pants,0,3,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/22/2020,77,Athleta,Slow Fashion,0,pants,,,tapered leg,Bottoms
Green Wide-leg Pants,0,2,8,3,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,9/20/2019,30,Poshmark ,Secondhand,0,pants,,,wide leg,Bottoms
Black Blockprint Wide-leg Pants,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/22/2020,100,Matter Prints,Slow Fashion,0,pants,,,wide leg,Bottoms
Light Wash Straight Leg Jeans,8,2,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/2/2020,175,Decade Studio,Slow Fashion,0,jeans,,,straight leg,Bottoms
Mom Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/5/2020,13,Madewell,Fair Trade,0,jeans,,,straight leg,Bottoms
Dark Wash Skinny Leg Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/1/2017,30,Old Navy/Online,0,0,jeans,,,skinny leg,Bottoms
Light Wash Skinny Leg Jeans,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8/1/2017,30,Old Navy ,0,0,jeans,,,skinny leg,Bottoms
Black Girlfriend Leggings,4,3,2,0,1,0,2,0,1,4,5,1,0,0,0,0,0,1,3,1,2,3,1/1/2016,107,Online/Three pairs,Slow Fashion,0,leggings,,,exercise,Bottoms
Grey Mesh Reebok Leggings,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1/1/2017,15,Ross/Marshalls,0,0,leggings,,,exercise,Bottoms
Grey Athleta Leggings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1/1/2016,30,Athleta,Slow Fashion,0,leggings,,,exercise,Bottoms
Blue Pattern Niyama Sol Leggings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1/1/2017,0,Niyama Sol,Gift,0,leggings,,,exercise,Bottoms
Black and Blue Adidas Leggings,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1/1/2017,20,Ross/Marshalls,0,0,leggings,,,exercise,Bottoms
Black Winter Leggings,3,3,0,1,0,1,4,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,12/5/2019,106,Athleta,Slow Fashion,0,leggings,,,exercise,Bottoms
Denim Shorts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1/1/2016,10,Goodwill,Secondhand,0,shorts,,,straight leg,Bottoms
Grey KL Pencil Skirt,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,2,0,0,0,0,8/1/2017,20,Old Navy,0,0,skirt,,,knee-length pencil,Bottoms
Black KL Pencil Skirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/15/2019,13,Eileen Fisher/Poshmark,Secondhand,0,skirt,,,knee-length pencil,Bottoms
Green Skinny Leg Pants,1,0,0,0,0,0,0,0,0,2,2,6,4,0,3,2,5,6,6,6,2,8,11/1/2018,18,Old Navy/Online,0,0,jeans,,,skinny leg,Bottoms
Black Skinny Leg Jeans,0,0,0,0,0,0,0,0,0,1,2,3,2,7,6,6,4,1,2,1,5,2,10/1/2018,25,Old Navy/Online,0,0,jeans,,,skinny leg,Bottoms
Black Ponte Stretch Pants,1,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,1,2,5,5,2,2,1/9/19,50,Everlane/Online,Slow fashion,0,pants,,,skinny leg,Bottoms
Denim Straight Leg Jeans,1,2,0,0,0,0,0,0,0,4,4,7,9,0,0,0,0,0,0,0,0,0,10/5/2019,27,Nordstrom Rack,Hudson 99% Cotton,0,jeans,,,straight leg,Bottoms
Denim Skinny Leg Jeans,0,0,0,0,0,0,0,0,0,1,0,1,5,3,7,2,0,5,2,5,0,0,8/1/2018,0,Rachel,Secondhand,0,jeans,,,skinny leg,Bottoms
Purple Suede Pants,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/10/2020,4,Rachel,Secondhand,0,pants,,,straight leg,Bottoms
Green Suede Pants,1,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,12/23/2019,4,Goodwill,Secondhand,0,pants,,,straight leg,Bottoms
Red Silk Pants,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,12/23/2019,4,Goodwill,Secondhand,0,pants,,,wide leg,Bottoms
Orange Shorts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1/1/2017,25,Express,0,0,shorts,,,0,Bottoms
Green Old Navy Shorts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1/1/2015,20,Old Navy,0,0,shorts,,,0,Bottoms
Blue Pullover Sweater,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,12/1/2017,0,Brian,Hand-me-down,0,sweater,long sleeve,,,Outerwear
Beige Cable Knit Sweater,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/22/2020,10,Plato's Closet,Secondhand,0,sweater,long sleeve,,,Outerwear
Cream Knit Crop Sweater,3,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,1,12/1/2014,10,Nordstrom Rack,0,0,sweater,long sleeve,,,Outerwear
Purple and Orange Mockneck Sweater,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/22/2020,10,Plato's Closet,Secondhand,0,sweater,long sleeve,,,Outerwear
Cream Cardigan,0,1,0,0,0,2,2,4,3,6,2,0,0,0,0,0,0,0,0,0,0,0,11/28/2019,39,Synergy Organic,Slow Fashion,0,cardigan ,long sleeve,,,Outerwear
Pink and Red Reversible Haori,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/26/2020,75,Matter Prints,Slow Fashion,0,cardigan,mid sleeve,,,Outerwear
Grey Cardigan,1,1,0,0,0,1,0,1,5,2,5,14,2,0,0,0,0,0,0,0,0,0,10/28/2019,42,TheRealReal/Theory,Secondhand,0,cardigan,long sleeve,,,Outerwear
Grey Heather Blazer Sweater,0,0,0,0,0,0,0,0,1,1,1,5,4,0,0,0,0,0,2,2,1,1,5/14/2016,0,Express,Gift,0,sweater,long sleeve,,,Outerwear
Tapestry Jacket,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/4/20,16,Rumors,Secondhand,0,coat/jacket,long sleeve,,,Outerwear
Black Blazer,0,0,0,0,0,1,1,1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,12/5/19,103,Athleta,Slow Fashion,0,blazer,long sleeve,,,Outerwear
