,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Total Wears,Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
86,Green Old Navy Shorts,,,,,,,STORAGE ,,,,,,,,1,,,,,,,,1,1/1/2015,20,Old Navy,,,shorts,,,,Bottoms
87,Blue Pullover Sweater,,,,,,,1,,2,,,,,1,,,,,,,1,,5,12/1/2017,0,Brian,Hand-me-down,,sweater,long sleeve,,,Outerwear
88,Beige Cable Knit Sweater,2,,,,,,,,,,,,,,,,,,,,,,5,10/22/2020,10,Plato's Closet,Secondhand,,sweater,long sleeve,,,Outerwear
89,Cream Knit Crop Sweater,3,1,,,,,,,,2,,1,2,,,,,,,1,,1,12,12/1/2014,10,Nordstrom Rack,,,sweater,long sleeve,,,Outerwear
90,Purple and Orange Mockneck Sweater,5,,,,,,,,,,,,,,,,,,,,,,6,10/22/2020,10,Plato's Closet,Secondhand,,sweater,long sleeve,,,Outerwear
91,Cream Cardigan,,1,,,,2,2,4,3,6,2,,,,,,,,,,,,20,11/28/2019,39,Synergy Organic,Slow Fashion,,cardigan ,long sleeve,,,Outerwear
92,Pink and Red Reversible Haori,,2,2,2,1,,,,,,,,,,,,,,,,,,8,6/26/2020,75,Matter Prints,Slow Fashion,,cardigan,mid sleeve,,,Outerwear
93,Grey Cardigan,1,1,,,,1,,1,5,2,5,14,2,,,,,,,,,,32,10/28/2019,42,TheRealReal/Theory,Secondhand,,cardigan,long sleeve,,,Outerwear
94,Grey Heather Blazer Sweater,,,,,,,,,1,1,1,5,4,,,,,,2,2,1,1,19,5/14/2016,0,Express,Gift,,sweater,long sleeve,,,Outerwear
95,Tapestry Jacket,1,2,,,,,,,,,,,,,,,,,,,,,3,9/4/20,16,Rumors,Secondhand,,coat/jacket,long sleeve,,,Outerwear
96,Black Blazer,,,,,,1,1,1,3,4,5,,,,,,,,,,,,15,12/5/19,103,Athleta,Slow Fashion,,blazer,long sleeve,,,Outerwear
97,Black Pleather and Mesh Blazer ,1,,,,,,,,,,,,,,,,,,,,,,1,8/10/20,3,Rachel ,Secondhand ,,blazer,long sleeve,,,Outerwear
98,Blue Quilted Blazer,,,,1,,,1,,1,2,,,,,,,,,,,,,5,12/28/19,0,TheRealReal/Sandro,Secondhand,,blazer ,long sleeve,,,Outerwear
99,Striped Waterfall Blazer,,,2,,,,,,,,,,,,,,,,,,,,2,8/25/20,20,Instagram - H&M,Second ,,blazer ,long sleeve ,,,Outerwear
100,White Blazer,1,,,,,,,,1,,,,,,,,,,2,,,,4,7/1/17,50,Nordstrom Rack,,,blazer,mid sleeve,,,Outerwear
101,Black Blazer Sweater,1,,,,1,3,,3,2,3,1,2,5,8,2,2,,,6,11,6,3,59,12/23/18,43,Nordstrom Rack,,,sweater,mid sleeve,,,Outerwear
102,Grey Oversized Poncho Sweater,2,1,,,,1,,2,1,1,,,2,,,,,,,2,,2,14,1/1/2016,15,Modcloth/Online,,,sweater,mid sleeve,,,Outerwear
103,Grey Cashmere Crop Sweater,1,1,,,,,,1,,5,1,2,2,,,,,,,,,1,14,8/1/2018,0,Rachel,Hand-me-down,,sweater,mid sleeve,,,Outerwear
104,Black Striped Osei-Duro Coat,3,3,,,1,,,9,5,7,3,16,1,,,,,,,,,,48,10/28/2019,58,TheRealReal/Osei-Duro,Secondhand,,coat/jacket,long sleeve,,,Outerwear
105,Black Silky Coat,,,,,1,2,,1,,,2,,,,,,,,,,,,6,12/23/2019,11,Goodwill,Secondhand,,coat/jacket,long sleeve,,,Outerwear
106,Green Trenchcoat,1,,,,,,,,,4,1,,,,,,,,,,,,6,12/23/2019,11,Goodwill,Secondhand,,coat/jacket,long sleeve,,,Outerwear
107,Black London Fog Coat,,,,,,,,3,10,6,6,4,,,,,,,3,15,20,14,88,2/1/2018,70,SteinMart,,,coat/jacket,long sleeve,,,Outerwear
108,Grey Puffer Coat,,,,,,,,1,9,9,11,3,,,,,,,,1,2,10,47,2/1/2018,70,SteinMart,,,coat/jacket,long sleeve,,,Outerwear
110,Peru Alpaca Sweater,,,,,,,STORAGE,,,,,,,,,,,,,,,,0,12/27/2019,0,Poppee,Secondhand,,sweater,long sleeve,,,Outerwear
111,Ugly Christmas Sweater,,,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,1,,,,,,,,,,,,2,12/1/2018,20,Target,,,sweater,long sleeve,,,Outerwear
112,Brown Leather Jacket,,,,,,,STORAGE ,STORAGE ,STORAGE,STORAGE,,,1,1,,,,,,1,1,,4,1/1/2014,30,Goodwill,Secondhand,,coat/jacket,long sleeve,,,Outerwear
113,Red Hilfiger Coat,,,,,,,STORAGE ,STORAGE ,STORAGE,1,,,1,,,,,,,1,1,,4,1/1/2013,50,Macy's,,,coat/jacket,long sleeve,,,Outerwear
114,Black Leather Open-Toed Sandals,1,,2,7,1,,,,,1,1,,,,,,,,,,,,13,10/5/2019,18,Nordstrom Rack ,,,sandals,,,,Shoes
115,Brown Leather Trevi Flats,,1,3,1,1,5,,3,,,,,,,,,,,,,,,14,3/21/2020,108,Crupon,Slow Fashion ,,flats,,,,Shoes
116,Black Leather Iris Loafers,,1,3,2,2,2,6,6,,,,,,,,,,,,,,,22,3/21/2020,94,Crupon,Slow Fashion,,flats,,,,Shoes
117,Blue Leather Sneakers,2,3,4,1,3,,1,1,1,8,8,12,9,,,,,,,,,,54,10/9/2019,105,Vivobarefoot/Online,Slow Fashion,,sneakers,,,,Shoes
